vehicle_name,stock_number,status,location,fuel_type,sleeps,length,sales_price (USD),horse_power
2008 TRAVEL SUPREME TRAVEL SUPREME 42DL14,2113711,Used,"Sherman, TX",,4,42 ft 6 in,91499,N/A
2000 NATIONAL RV TRADEWINDS 7370 (300HP),2014925A,Used,"Camping World of Reno - Reno, NV",,4,33 ft 0 in,29399,N/A
2009 COACH HOUSE PLATINUM II 241XL,2182626P,Used,"Garner, NC",,3,25 ft 7 in,49999,N/A
2006 DAMON ASTORIA 3679,2179155,Used,"Nashville, TN",,7,38 ft 0 in,49999,N/A
2005 WINNEBAGO JOURNEY 34H,2081356,Used,"Katy, TX",,-,35 ft 0 in,52499,N/A
2009 ITASCA NAVION 24DL,2178973,Used,"Center Conway, NH",,2,25 ft 0 in,60499,N/A
2005 FOREST RIVER CHARLESTON 400QS,2208508,Used,"Oakwood, GA",,4,0 ft 0 in,60999,N/A
2010 ITASCA REYO 25R,2193644,Used,"Newport News, VA",,5,29 ft 10 in,64999,N/A
2008 WINNEBAGO VIEW 24J,2204010,Used,"Lubbock, TX",,4,25 ft 0 in,65999,N/A
2011 WINNEBAGO VIA 25R,2161800,Used,"Biloxi, MS",,6,25 ft 5 in,66999,N/A
2016 THOR GEMINI 23TR,2203479P,Used,"Hamburg, NY",,3,24 ft 0 in,69999,N/A
2011 WINNEBAGO VIEW 24K,2198706,Used,"Tulsa, OK",,4,24 ft 6 in,69999,N/A
2011 FOUR WINDS SERRANO 31V,2161364P,Used,"Wood Village, OR",,-,33 ft 0 in,71299,N/A
2017 THOR GEMINI 23TB,2151804,Used,"Dothan, AL",,4,23 ft 6 in,71999,N/A
2016 THOR COMPASS 23TR,2192578,Used,"Kingston, NY",,4,24 ft 0 in,72499,N/A
2014 FOREST RIVER SOLERA 24R,2160891,Used,"Dover, FL",,5,24 ft 10 in,73399,N/A
2011 WINNEBAGO VIA 25T,2183054,Used,"Louisville, TN",,6,25 ft 5 in,73099,N/A
2007 WINNEBAGO JOURNEY 34H,2180282P,Used,"Wauconda, IL",,5,35 ft 0 in,74999,N/A
2016 THOR GEMINI 23TR,2190794,Used,"Swedesboro, NJ",,3,24 ft 0 in,74999,N/A
2016 THOR CHATEAU CITATION 24SR,2205556,Used,"Lowell, AR",,5,25 ft 0 in,74985,N/A
2009 GULF STREAM CONQUEST B-TOURNG CRUISER 5232,2129754,Used,"Strafford, MO",,3,24 ft 9 in,74999,N/A
2017 THOR GEMINI 23TR,2184183P,Used,"Tyler, TX",,4,23 ft 6 in,75999,N/A
2006 FLEETWOOD REVOLUTION LE 40L,2195468,Used,"Jackson, TN",,6,40 ft 0 in,77099,N/A
2017 WINNEBAGO FUSE 23T,2170656,Used,"Apollo, PA",,4,24 ft 0 in,77499,N/A
2017 THOR COMPASS 23TB,2183267P,Used,"Camping World of Reno - Reno, NV",,4,23 ft 6 in,77499,N/A
2017 THOR GEMINI 23TB,3000176P,Used,"Georgetown, KY",,4,23 ft 6 in,77499,N/A
2017 THOR GEMINI 23TR,2151083,Used,"Cicero, NY",,2,23 ft 6 in,77499,N/A
2016 RENEGADE VIENNA 25VMBS,2066506,Used,"Ridgeland, SC",,2,24 ft 11 in,77499,N/A
2017 THOR COMPASS 23TR,2169673P,Used,"Greenwood, IN",,4,23 ft 6 in,78499,N/A
2006 TIFFIN ALLEGRO BUS 40QSP,2198688,Used,"Golden, CO",,-,0 ft 0 in,78498,N/A
2016 THOR COMPASS 23TR,2191745,Used,"Ridgeland, SC",,4,24 ft 0 in,77899,N/A
2016 FOREST RIVER SUNSEEKER MBS 2400R,2201436,Used,"Hope Mills, NC",,5,24 ft 11 in,78799,N/A
2013 ITASCA NAVION 24G,2205018,Used,"Summerfield, FL",,2,25 ft 5 in,79199,N/A
2017 THOR CHATEAU 24HL,2182062,Used,"Bartow, FL",,5,24 ft 11 in,79499,N/A
2017 THOR COMPASS 23TR,2169778,Used,"Columbia, SC",,4,23 ft 6 in,79999,N/A
2017 THOR CHATEAU 24HL,2183465,Used,"Chattanooga, TN",,5,24 ft 11 in,79999,N/A
